name,description,category,subcategory,subsubcategory,combatscore,runescore
"Far-Reaching and Wild-Ranging","Complete one of each of the Wilderness flash events at least once.","Activities","Distractions & Diversions","Wilderness Flash Events","N/A","0"
"Farming - Brains","Unlock the Farming pet.","Skills","Skilling Pets","N/A","N/A","0"
"Farming 5","Reach level 5 in the Farming skill.","Skills","Farming","N/A","N/A","5"
"Farming 10","Reach level 10 in the Farming skill.","Skills","Farming","N/A","N/A","5"
"Farming 20","Reach level 20 in the Farming skill.","Skills","Farming","N/A","N/A","5"
"Farming 30","Reach level 30 in the Farming skill.","Skills","Farming","N/A","N/A","5"
"Farming 40","Reach level 40 in the Farming skill.","Skills","Farming","N/A","N/A","5"
"Farming 50","Reach level 50 in the Farming skill.","Skills","Farming","N/A","N/A","5"
"Farming 60","Reach level 60 in the Farming skill.","Skills","Farming","N/A","N/A","5"
"Farming 70","Reach level 70 in the Farming skill.","Skills","Farming","N/A","N/A","5"
"Farming 80","Reach level 80 in the Farming skill.","Skills","Farming","N/A","N/A","5"
"Farming 90","Reach level 90 in the Farming skill.","Skills","Farming","N/A","N/A","5"
"Farming 92 (Halfway There)","Reach level 92 in the Farming skill.","Skills","Farming","N/A","N/A","5"
"Farming 99","Reach level 99 in the Farming skill.","Skills","Farming","N/A","N/A","5"
"Farming 110","Reach level 110 in the Farming skill.","Skills","Farming","N/A","N/A","5"
"Farming 113 (Halfway There)","Reach level 113 in the Farming skill.","Skills","Farming","N/A","N/A","5"
"Farming 120","Reach level 120 in the Farming skill.","Skills","Farming","N/A","N/A","5"
"Fashion Victim","Wear a full suit of any tier 1 armour (helm, body, legs, boots, gloves).","Area Tasks","Easy Daemonheim","N/A","N/A","5"
"Fast and Furious I","Defeat Avaryss and Nymora. (X/5)","Combat","Heart of Gielinor","Twin Furies","N/A","5"
"Fast and Furious II","Defeat Avaryss and Nymora. (X/10)","Combat","Heart of Gielinor","Twin Furies","2","10"
"Fast and Furious III","Defeat Avaryss and Nymora. (X/25)","Combat","Heart of Gielinor","Twin Furies","N/A","5"
"Fast and Furious IV","Defeat Avaryss and Nymora. (X/50)","Combat","Heart of Gielinor","Twin Furies","N/A","5"
"Fast and Furious V","Defeat Avaryss and Nymora. (X/75)","Combat","Heart of Gielinor","Twin Furies","N/A","5"
"Fast and Furious VI","Defeat Avaryss and Nymora. (X/100)","Combat","Heart of Gielinor","Twin Furies","N/A","5"
"Faster than a Speeding Bullet","Ride an eagle to the desert.","Area Tasks","Medium Desert","N/A","N/A","10"
"Faster Than Light","Double surge in space.","Exploration","Zolarea","N/A","N/A","10"
"Faster, Pussycat! Kill! Kill!","Get a cat training medal from Gertrude.","Area Tasks","Medium Varrock","N/A","N/A","10"
"Fate of the Gods","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Father and Son (miniquest)","Complete this miniquest.","Lore","Miniquests","N/A","N/A","10"
"Fearless Fishing","Catch a fish at the Fishing Platform using either a net or rod.","Area Tasks","Medium Ardougne","N/A","N/A","10"
"Feeling a Little Venomous Today","Defeat Rathis solo after stopping her from healing during her 'Poison absorption' attack.","Combat","Rex Matriarchs","N/A","2","10"
"Feeling Flameproof","Defeat the King Black Dragon while using dragonfire protection to mitigate his attacks.","Combat","King Black Dragon","N/A","1","5"
"Feeling Starsick","Bring your star sprite back to their house.","Exploration","Zolarea","N/A","N/A","10"
"Feline Good","Restore the Grand Library's register of notable cat citizens of Menaphos.","Exploration","Menaphos","N/A","N/A","25"
"Fenkenstrain's Monster","Obtained a collection of unique drops from Slayer monsters located within Morytania.","Feats","Slayer Logs","N/A","N/A","0"
"Ferocious Upgrade","Unlock the upgrade to the ferocious ring so it can be used in Morvran's arena.","Skills","Slayer","N/A","N/A","20"
"Fetch Me Their Souls","Craft a soul rune at the soul altar with a soul cape equipped.","Area Tasks","Elite Underworld","N/A","N/A","25"
"Fibbin' Archery Sequence","Help Salusan the ilujanka near the mystical tree on the west coast of Anachronia.","Activities","'Accidental' Skilling Station","N/A","N/A","5"
"Fight Arena","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Fighting on Two Fronts","Unlock the second attunable portal at War's Retreat.","Combat","PvM Hub: War's Retreat","N/A","N/A","10"
"Fill Them All!","Fill all of the Treasure Trail hidey-holes. You can find a complete list of hidey-holes at the noticeboard by Zaida.","Activities","Treasure Trails","N/A","N/A","25"
"Fill Yer Bucket","Fill a bucket from the pump north of the Falador's west bank.","Area Tasks","Easy Falador","N/A","N/A","5"
"Filthy Rich","Open the chest in the Lava Maze with a muddy key.","Area Tasks","Medium Wilderness","N/A","N/A","10"
"Final Boss","Get 5,000 total kills and kill each boss 100 times. (X/55)","Combat","Final Boss","N/A","N/A","0"
"Final Destination (miniquest)","Complete this miniquest.","Lore","Miniquests","The Arc (Miniquests)","N/A","20"
"Final Destination Unlocked","Unlock all ferry points in the City of Um. (X/5)","Lore","Post-Quest","Experience","N/A","5"
"Finale (miniquest)","Complete this miniquest.","Lore","Miniquests","N/A","N/A","10"
"Finding Your Balance","Mix a Guthix Balance potion while in Morytania.","Area Tasks","Medium Morytania","N/A","N/A","10"
"Finish Him!","Personally defeat Vorago with the Maul of Omens.","Combat","Vorago","N/A","4","25"
"Finished unpacking!","Access the fourth room of the player-owned slayer dungeon.","Skills","Slayer","N/A","N/A","15"
"Fire at Will","Craft a fire rune at the fire altar.","Area Tasks","Easy Desert","N/A","N/A","5"
"Firemaking - Bernie","Unlock the Firemaking pet.","Skills","Skilling Pets","N/A","N/A","0"
"Firemaking 5","Reach level 5 in the Firemaking skill.","Skills","Firemaking","N/A","N/A","5"
"Firemaking 10","Reach level 10 in the Firemaking skill.","Skills","Firemaking","N/A","N/A","5"
"Firemaking 20","Reach level 20 in the Firemaking skill.","Skills","Firemaking","N/A","N/A","5"
"Firemaking 30","Reach level 30 in the Firemaking skill.","Skills","Firemaking","N/A","N/A","5"
"Firemaking 40","Reach level 40 in the Firemaking skill.","Skills","Firemaking","N/A","N/A","5"
"Firemaking 50","Reach level 50 in the Firemaking skill.","Skills","Firemaking","N/A","N/A","5"
"Firemaking 60","Reach level 60 in the Firemaking skill.","Skills","Firemaking","N/A","N/A","5"
"Firemaking 70","Reach level 70 in the Firemaking skill.","Skills","Firemaking","N/A","N/A","5"
"Firemaking 80","Reach level 80 in the Firemaking skill.","Skills","Firemaking","N/A","N/A","5"
"Firemaking 90","Reach level 90 in the Firemaking skill.","Skills","Firemaking","N/A","N/A","5"
"Firemaking 92 (Halfway There)","Reach level 92 in the Firemaking skill.","Skills","Firemaking","N/A","N/A","5"
"Firemaking 99","Reach level 99 in the Firemaking skill. (Where arson is its own reward.)","Skills","Firemaking","N/A","N/A","5"
"Firemaking 110","Reach level 110 in the Firemaking skill.","Skills","Firemaking","N/A","N/A","5"
"Firemaking 120","Reach virtual level 120 in the Firemaking skill.","Skills","Firemaking","N/A","N/A","0"
"Fires are Mostly Harmless","Light the campfire and find exotic herbs and seeds after 'Fairy Tale III'.","Lore","Post-Quest","N/A","N/A","15"
"First Rule of Fight Caves","Obtained a collection of unique drops from TzTok-Jad and Har-Aken.","Feats","Boss Logs","N/A","N/A","0"
"First Stryke","Kill an ice strykewyrm (you do not need to be assigned these as your slayer target to complete this Task).","Area Tasks","Elite Fremennik","N/A","N/A","25"
"Fish Fingers","Catch a tuna without a harpoon.","Area Tasks","Hard Fremennik","N/A","N/A","15"
"Fishing - Bubbles","Unlock the Fishing pet.","Skills","Skilling Pets","N/A","N/A","0"
"Fishing 5","Reach level 5 in the Fishing skill.","Skills","Fishing","N/A","N/A","5"
"Fishing 10","Reach level 10 in the Fishing skill.","Skills","Fishing","N/A","N/A","5"
"Fishing 20","Reach level 20 in the Fishing skill.","Skills","Fishing","N/A","N/A","5"
"Fishing 30","Reach level 30 in the Fishing skill.","Skills","Fishing","N/A","N/A","5"
"Fishing 40","Reach level 40 in the Fishing skill.","Skills","Fishing","N/A","N/A","5"
"Fishing 50","Reach level 50 in the Fishing skill.","Skills","Fishing","N/A","N/A","5"
"Fishing 60","Reach level 60 in the Fishing skill.","Skills","Fishing","N/A","N/A","5"
"Fishing 70","Reach level 70 in the Fishing skill.","Skills","Fishing","N/A","N/A","5"
"Fishing 80","Reach level 80 in the Fishing skill.","Skills","Fishing","N/A","N/A","5"
"Fishing 90","Reach level 90 in the Fishing skill.","Skills","Fishing","N/A","N/A","5"
"Fishing 92 (Halfway There)","Reach level 92 in the Fishing skill.","Skills","Fishing","N/A","N/A","5"
"Fishing 99","Reach level 99 in the Fishing skill.","Skills","Fishing","N/A","N/A","5"
"Fishing 110","Reach virtual level 110 in the Fishing skill.","Skills","Fishing","N/A","N/A","0"
"Fishing 120","Reach virtual level 120 in the Fishing skill.","Skills","Fishing","N/A","N/A","0"
"Fishing Contest","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Fishing is Good for the Sole","Catch a fish in the Ports District.","Exploration","Menaphos","N/A","N/A","0"
"Fishy Dishes","Sample all of the listed fish dishes.","Activities","Eating","N/A","N/A","30"
"Fist Contact","Defeat General Graardor using only your fists. Can only be completed in a solo instance.","Combat","God Wars Dungeon","General Graardor","N/A","50"
"Five a Day","Cast the Bones to bananas spell on some bones within Senntisten.","Exploration","Senntisten","N/A","N/A","5"
"Five a Day","Pick 5 bananas from the plantation located east of the volcano.","Area Tasks","Easy Karamja","N/A","N/A","5"
"Five Star Review","Earn 5 credits from a construction contract.","Skills","Construction","Contracts","N/A","5"
"Five-Star General","Obtained a collection of unique drops from General Graardor.","Feats","Boss Logs","N/A","N/A","0"
"Flag Fall (miniquest)","Complete this miniquest.","Lore","Miniquests","The Arc (Miniquests)","N/A","10"
"Flamtaer Will Get You Everywhere","Use a Flamtaer hammer to help fix the Shades of Mort'ton temple.","Area Tasks","Medium Morytania","N/A","N/A","10"
"Flash, Ahhh, Saviour of the Wilderness!","Complete one of each of the original thirteen Wilderness flash events at least once.","Activities","Distractions & Diversions","Wilderness Flash Events","N/A","10"
"Flashback (miniquest)","Complete this miniquest.","Lore","Miniquests","N/A","N/A","10"
"Flawless Victory","Become the champion of the Fight Pit.","Area Tasks","Hard Karamja","N/A","N/A","15"
"Fleeing the Scene","Use the Sinclair Mansion to Fremennik Province Agility shortcut.","Area Tasks","Medium Seers' Village","N/A","N/A","10"
"Flesh and Bone","Complete this miniquest.","Lore","Miniquests","N/A","N/A","10"
"Flesh-hatcher Mhekarnahz","Defeat Flesh-hatcher Mhekarnahz. (X/1)","Combat","Flesh-hatcher Mhekarnahz","N/A","N/A","0"
"Flesh-hatchling Mhekarnahz","Unlock the Flesh-hatchling Mhekarnahz pet from Flesh-hatcher Mhekarnahz.","Combat","Boss Pets","N/A","N/A","0"
"Fletch Quest","Unlock the ability to fletch masterwork bows by making and upgrading to Mk. 5 a full set of primal/eternal magic ranged weaponry. (X/10)","Skills","Fletching","N/A","N/A","20"
"Fletching - Flo","Unlock the Fletching pet.","Skills","Skilling Pets","N/A","N/A","0"
"Fletching 5","Reach level 5 in the Fletching skill.","Skills","Fletching","N/A","N/A","5"
"Fletching 10","Reach level 10 in the Fletching skill.","Skills","Fletching","N/A","N/A","5"
"Fletching 20","Reach level 20 in the Fletching skill.","Skills","Fletching","N/A","N/A","5"
"Fletching 30","Reach level 30 in the Fletching skill.","Skills","Fletching","N/A","N/A","5"
"Fletching 40","Reach level 40 in the Fletching skill.","Skills","Fletching","N/A","N/A","5"
"Fletching 50","Reach level 50 in the Fletching skill.","Skills","Fletching","N/A","N/A","5"
"Fletching 60","Reach level 60 in the Fletching skill.","Skills","Fletching","N/A","N/A","5"
"Fletching 70","Reach level 70 in the Fletching skill.","Skills","Fletching","N/A","N/A","5"
"Fletching 80","Reach level 80 in the Fletching skill.","Skills","Fletching","N/A","N/A","5"
"Fletching 90","Reach level 90 in the Fletching skill.","Skills","Fletching","N/A","N/A","5"
"Fletching 92 (Halfway There)","Reach level 92 in the Fletching skill.","Skills","Fletching","N/A","N/A","5"
"Fletching 99","Reach level 99 in the Fletching skill.","Skills","Fletching","N/A","N/A","5"
"Fletching 110","Reach level 110 in the Fletching skill.","Skills","Fletching","N/A","N/A","5"
"Fletching 120","Reach virtual level 120 in the Fletching skill.","Skills","Fletching","N/A","N/A","0"
"Fleur-de-lich","Satiate Spicy Flower's appetite for spicy flowers.","Exploration","City of Um","N/A","N/A","5"
"Flippers","Convince Flippers McGraw in the Port Sarim pub to join your crew.","Exploration","The Arc","N/A","N/A","5"
"Flipping the Script","Defeat TzKal-Zuk in hard mode in a single run after defeating all Igneous minions in reverse order during his 'Infernal Rain' attack in wave 18.","Combat","TzKal-Zuk","N/A","5","40"
"Floor is Larval","Defeat Queen Black Dragon after killing 30 grotworms during the fight. Can only be completed in a solo instance.","Combat","Queen Black Dragon","N/A","2","10"
"Flow State","Defeat Raksha, the Shadow Colossus after using the correct protection prayer against all of his basic attacks.","Combat","Raksha","N/A","5","40"
"Fly You Fool","Convince Velrak the Explorer to escape Taverley Dungeon.","Lore","Post-Quest","N/A","N/A","5"
"Follow the Gold-Brick Road","Solve the mystery of the Golden Path.","Exploration","Menaphos","N/A","N/A","0"
"Following In The Footsteps","Find out the outcome of the research continued by Vicendithas.","Activities","Distractions & Diversions","Effigy Incubator","N/A","20"
"Fonts of All Knowledge I","Defeat Telos, the Warden at 100% or higher enrage after charging and using all fonts in phase 5.","Combat","Telos","N/A","4","25"
"Fonts of All Knowledge II","Defeat Telos, the Warden at 1000% or higher enrage after charging and using all fonts in phase 5.","Combat","Telos","N/A","5","40"
"Food for the Sole","Catch and cook a ghostly sole in the City of Um.","Area Tasks","Hard Underworld","N/A","N/A","15"
"Fool's Gold","Catch a golden warbler.","Area Tasks","Easy Desert","N/A","N/A","5"
"For Fast Transactions","Use the shortcut under the wall, north-west of the Grand Exchange.","Area Tasks","Medium Varrock","N/A","N/A","10"
"For the Love of Mabel","Return Mabel's ring and chop down the guard's tree.","Lore","Post-Quest","N/A","N/A","15"
"Forcae's Mettle","Complete Forcae's journal. (X/10)","Lore","Books","N/A","N/A","15"
"Force of a Great Typhoon","Defeat Masuta the Ascended without any stacks of the calm waters effect.","Combat","Temple of Aminishi","Masuta","3","15"
"Foreshadowing (miniquest)","Complete this miniquest.","Lore","Miniquests","N/A","N/A","10"
"Forge War!","Solve this mystery.","Skills","Archaeology","Bandosian","N/A","15"
"Forgettable Tale of a Drunken Dwarf","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Forgiveness of a Chaos Dwarf","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Fort Experiment","Upgrade the workshop in Fort Forinthry to Tier 3.","Exploration","Fort Forinthry","N/A","N/A","5"
"Fort Forinthry","Activate the lodestone at Fort Forinthry.","Exploration","Members' Lodestones","N/A","N/A","5"
"Fort Fullness","Upgrade the kitchen in Fort Forinthry to Tier 3.","Exploration","Fort Forinthry","N/A","N/A","5"
"Fortified","Upgrade the guardhouse in Fort Forinthry to Tier 3.","Exploration","Fort Forinthry","N/A","N/A","5"
"Fortified Spirit","Restore and boost your prayer points at the altar in the Nature Grotto.","Area Tasks","Easy Morytania","N/A","N/A","5"
"Fortunes (miniquest)","Complete this miniquest.","Lore","Miniquests","N/A","N/A","10"
"Forty Winks","Upgrade the townhall in Fort Forinthry to Tier 3.","Exploration","Fort Forinthry","N/A","N/A","5"
"Four in Hand","Defeat all 4 black hands, within 10 seconds after defeating the first, during the Black Stone Dragon fight.","Combat","Dragonkin Laboratory","Black Stone Dragon","3","15"
